Kms_Driven,modelYear,centralVariantId,variantName,price,Mileage,Engine_Displacement,Max Power,Max Torque,No of Cylinder,BoreX Stroke,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Turning Radius,Front Brake Type,Rear Brake Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed,city,bt,oem,model,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Color,Engine Type,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Tyre Type
30,2021,7618,2.8,3750000,15.04,2755,174.5,450.0,4.0,72.6523747368421,4795.0,1855.0,1835.0,2745.0,1458.3461457676958,1459.0579069277742,2280.0,2735.0,5.8,236.0,185.39999999999998,18,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.14,157.3,5,7,30,285,55,4,1,5,414,1,0,8,9,3,23,3,0,21,4,4,26
9,2022,8835,69.81260057098365,545000,24.35,998,65.71,89.0,3.0,72.6523747368421,3655.0,1620.0,1675.0,2435.0,1430.0,1440.0,810.0,1340.0,4.7,236.0,185.39999999999998,0,5.0,175.14117647058825,341.0,12.667795612627074,12.854019118869493,175.7024856765095,5,2,20,184,198,2,4,3,413,1,1,14,296,3,49,0,0,8,12,4,23
17,2022,8153,69.81260057098365,750000,21.0,1197,81.8,114.74,4.0,72.6523747368421,3995.0,1775.0,1505.0,2580.0,1458.3461457676958,1459.0579069277742,1120.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,0,5.0,175.14117647058825,311.0,12.667795612627074,12.854019118869493,175.7024856765095,5,2,9,90,90,4,4,3,409,1,1,57,46,3,49,0,0,8,12,1,23
49,2021,7885,2.0,1650000,17.1,1956,170.0,350.0,4.0,72.6523747368421,4395.0,1818.0,1640.0,2636.0,1458.3461457676958,1459.0579069277742,1551.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,17,5.0,175.14117647058825,408.0,12.667795612627074,12.854019118869493,175.7024856765095,5,7,12,101,107,2,1,3,413,1,0,57,124,3,4,3,0,86,6,4,6
35,2009,1567,69.81260057098365,225000,19.81,1086,68.05,99.04,4.0,72.6523747368421,3585.0,1595.0,1550.0,2380.0,1400.0,1385.0,860.0,1663.445324881141,4.7,236.0,185.39999999999998,0,5.0,175.14117647058825,225.0,12.667795612627074,14.3,165.0,5,2,9,89,95,2,4,3,420,3,1,110,265,8,49,0,0,8,12,4,13
30,2020,7873,2.0,5990000,19.264094886860857,1999,245.4,430.0,4.0,72.6523747368421,4371.0,1996.0,1649.0,2681.0,1626.0,1628.0,1775.0,2450.0,6.036145117945655,236.0,185.39999999999998,18,5.0,175.14117647058825,786.0,15.5,9.3,205.0,5,7,14,114,18,4,1,3,409,3,0,55,401,3,49,3,0,89,9,4,26
54,2017,7013,69.81260057098365,315000,23.95,998,67.05,90.0,3.0,72.6523747368421,3545.0,1515.0,1475.0,2360.0,1295.0,1290.0,784.0,1210.0,4.6,236.0,185.39999999999998,0,5.0,175.14117647058825,177.0,12.667795612627074,13.3,145.0,5,2,20,156,193,4,4,3,416,1,1,116,289,3,53,0,0,8,12,4,26
6,2021,7384,69.81260057098365,799000,17.33,1199,118.35,170.0,3.0,72.6523747368421,3993.0,1811.0,1606.0,2498.0,1458.3461457676958,1459.0579069277742,1200.0,1663.445324881141,5.1,236.0,185.39999999999998,0,5.0,175.14117647058825,350.0,12.667795612627074,12.854019118869493,175.7024856765095,5,7,29,265,161,4,4,3,415,1,1,56,60,3,49,0,0,21,12,1,26
29,2017,4022,69.81260057098365,526000,20.73,1373,91.1,130.0,4.0,73.0,4490.0,1730.0,1485.0,2650.0,1495.0,1505.0,1010.0,1490.0,5.4,236.0,185.39999999999998,0,4.0,175.14117647058825,510.0,10.1,14.0,190.0,5,8,20,163,157,5,4,3,413,1,1,110,478,3,49,0,0,8,12,4,23
30,2020,7873,2.0,5990000,19.264094886860857,1999,245.4,430.0,4.0,72.6523747368421,4371.0,1996.0,1649.0,2681.0,1626.0,1628.0,1775.0,2450.0,6.036145117945655,236.0,185.39999999999998,18,5.0,175.14117647058825,786.0,15.5,9.3,205.0,5,7,14,114,18,4,1,3,409,3,0,116,401,3,49,3,0,89,9,4,26
